VNA:  37397C
 
MODEL:                       DATE:     11/06/2014  19:15        PAGE 1
DEVICE ID:                   OPERATOR:  
START:      4.600000000 GHz  GATE START:       -        ERROR CORR: NONE       
STOP:       4.660000000 GHz  GATE STOP:        -        AVERAGING:   1 PT 
STEP:       0.000037500 GHz  GATE:             -        IF BNDWDTH: 10 Hz 
                             WINDOW:           - 
                      ---CH1--- 
PARAMETER:              -S21-  
NORMALIZATION:      DATA & MEMORY 
REFERENCE PLANE:         0.0000mm 
SMOOTHING:           0.0 PERCENT 
DELAY APERTURE:           - 
MARKERS: 
MKR     FREQ          MAGNITUDE 
#       GHz              dB 
1     4.619987500     -33.450     
FREQUENCY POINTS: 
PNT     FREQ          MAGNITUDE 
#       GHz              dB 
1      4.600000000    -30.765     
2      4.600037500    -28.135     
3      4.600075000    -29.689     
4      4.600112500    -29.285     
5      4.600150000    -31.872     
6      4.600187500    -29.222     
7      4.600225000    -28.625     
8      4.600262500    -29.421     
9      4.600300000    -30.434     
10     4.600337500    -30.805     
11     4.600375000    -28.821     
12     4.600412500    -30.652     
13     4.600450000    -29.374     
14     4.600487500    -29.555     
15     4.600525000    -28.761     
16     4.600562500    -30.340     
17     4.600600000    -29.998     
18     4.600637500    -27.378     
19     4.600675000    -28.849     
20     4.600712500    -30.487     
21     4.600750000    -30.897     
22     4.600787500    -31.638     
23     4.600825000    -31.564     
24     4.600862500    -30.466     
25     4.600900000    -28.113     
26     4.600937500    -31.575     
27     4.600975000    -29.902     
28     4.601012500    -30.349     
29     4.601050000    -30.888     
30     4.601087500    -30.053     
31     4.601125000    -31.430     
32     4.601162500    -30.124     
33     4.601200000    -29.938     
34     4.601237500    -30.116     
35     4.601275000    -31.051     
36     4.601312500    -29.731     
37     4.601350000    -30.923     
38     4.601387500    -28.943     
39     4.601425000    -33.738     
40     4.601462500    -30.261     
41     4.601500000    -32.180     
42     4.601537500    -29.588     
43     4.601575000    -30.514     
44     4.601612500    -30.289     
45     4.601650000    -32.066     
46     4.601687500    -30.535     
47     4.601725000    -29.723     
48     4.601762500    -29.675     
49     4.601800000    -31.517     
50     4.601837500    -31.311     
51     4.601875000    -33.211     
52     4.601912500    -30.342     
53     4.601950000    -30.814     
54     4.601987500    -28.022     
55     4.602025000    -28.350     
56     4.602062500    -31.030     
57     4.602100000    -29.934     
58     4.602137500    -30.017     
59     4.602175000    -30.020     
60     4.602212500    -31.482     
61     4.602250000    -32.071     
62     4.602287500    -30.139     
63     4.602325000    -31.153     
64     4.602362500    -29.422     
65     4.602400000    -28.611     
66     4.602437500    -32.272     
67     4.602475000    -28.327     
68     4.602512500    -30.602     
69     4.602550000    -29.396     
70     4.602587500    -31.396     
71     4.602625000    -28.708     
72     4.602662500    -29.843     
73     4.602700000    -30.510     
74     4.602737500    -29.879     
75     4.602775000    -29.935     
76     4.602812500    -29.509     
77     4.602850000    -30.194     
78     4.602887500    -30.728     
79     4.602925000    -29.821     
80     4.602962500    -30.277     
81     4.603000000    -33.795     
82     4.603037500    -30.591     
83     4.603075000    -29.252     
84     4.603112500    -29.529     
85     4.603150000    -32.230     
86     4.603187500    -29.930     
87     4.603225000    -34.724     
88     4.603262500    -30.098     
89     4.603300000    -30.515     
90     4.603337500    -31.168     
91     4.603375000    -30.723     
92     4.603412500    -31.153     
93     4.603450000    -29.603     
94     4.603487500    -30.504     
95     4.603525000    -32.060     
96     4.603562500    -30.317     
97     4.603600000    -30.827     
98     4.603637500    -30.233     
99     4.603675000    -31.069     
100    4.603712500    -30.312     
101    4.603750000    -30.527     
102    4.603787500    -30.711     
103    4.603825000    -31.238     
104    4.603862500    -31.367     
105    4.603900000    -35.382     
106    4.603937500    -29.892     
107    4.603975000    -31.808     
108    4.604012500    -30.104     
109    4.604050000    -30.044     
110    4.604087500    -31.592     
111    4.604125000    -28.568     
112    4.604162500    -30.744     
113    4.604200000    -29.102     
114    4.604237500    -31.520     
115    4.604275000    -29.498     
116    4.604312500    -32.867     
117    4.604350000    -30.952     
118    4.604387500    -31.961     
119    4.604425000    -33.681     
120    4.604462500    -30.518     
121    4.604500000    -32.169     
122    4.604537500    -33.164     
123    4.604575000    -30.195     
124    4.604612500    -30.765     
125    4.604650000    -31.870     
126    4.604687500    -30.070     
127    4.604725000    -30.387     
128    4.604762500    -30.993     
129    4.604800000    -34.923     
130    4.604837500    -31.733     
131    4.604875000    -34.018     
132    4.604912500    -32.676     
133    4.604950000    -32.651     
134    4.604987500    -33.136     
135    4.605025000    -30.809     
136    4.605062500    -35.004     
137    4.605100000    -33.493     
138    4.605137500    -34.342     
139    4.605175000    -33.026     
140    4.605212500    -31.911     
141    4.605250000    -33.857     
142    4.605287500    -30.489     
143    4.605325000    -32.321     
144    4.605362500    -31.275     
145    4.605400000    -29.128     
146    4.605437500    -34.615     
147    4.605475000    -31.183     
148    4.605512500    -34.033     
149    4.605550000    -33.035     
150    4.605587500    -32.822     
151    4.605625000    -33.016     
